Coluna,Significado,Total Outliers,% do Total
P05404,"Em mêdia, quanto fuma por dia ou por semana Cigarros de palha ou enrolados a mêo? ",0,0.00%
P052,"E no passado, o(a) Sr(a) fumou algum produto do tabaco? ",0,0.00%
P05401,"Em mêdia, quanto fuma por dia ou por semana Cigarros industrializados",0,0.00%
P051,"E no passado, o(a) Sr(a) fumou algum produto do tabaco diariamente? ",0,0.00%
P04502,"Em um dia, quantas horas do seu tempo livre (excluindo o trabalho), o(a) Sr(a) costuma usar computador, tablet ou celular para lazer, tais como: utilizar redes sociais, para ver notêcias, vêdeos, jogar etc? ",0,0.00%
P04501,"Em mêdia, quantas horas por dia o(a) Sr(a) costuma ficar assistindo televisêo? ",0,0.00%
P03702,"Em geral, no dia que o(a) Sr(a) pratica (praticava) exercêcio ou esporte, quanto tempo em minutos dura essa atividade?Minutos ",0,0.00%
H004,Onde procurou o atendimento mêdico por este motivo?,0,0.00%
H010,"ê difêcil para você conseguir atendimento mêdico no(a) ""serviêo de saêdeê quando pensa que ê necessêrio?",0,0.00%
Q06507,Faz atualmente por causa da doenêa do coraêêo: prêtica de atividade fêsica regular?,0,0.00%
E01804,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse(s) outro(s) trabalho(s)?(valor estimado em produtos ou mercadorias),1,0.00%
C009,Cor ou raêa,2,0.01%
P05416,"Em mêdia, quanto fuma por dia ou por semana Narguilê (sessêes)? ",6,0.02%
P05419,"Em mêdia, quanto fuma por dia ou por semana Outro",11,0.05%
P05413,"Em mêdia, quanto fuma por dia ou por semana Charutos ou cigarrilhas? ",12,0.05%
E01604,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse trabalho?(valor estimado em produtos ou mercadorias),13,0.05%
P05407,"Em mêdia, quanto fuma por dia ou por semana Cigarros de cravo ou de Bali? ",14,0.06%
E019,"Quantas horas ___ trabalhava normalmente, por semana, nesses outros trabalhos? ",17,0.07%
P06701,"O(a) Sr(a) usa aparelhos eletrênicos com nicotina lêquida ou folha de tabaco picado (cigarro eletrênico, narguilê eletrênico, cigarro aquecido ou outro dispositivo eletrênico para fumar ou vaporizar)? ",32,0.13%
C008,Idade do morador na data de referência,41,0.17%
I00401,O plano de saêde (ênico ou principal) de assistência mêdica que ___ possui dê direito a consultas,44,0.18%
Q064,Que idade o(a) Sr(a) tinha no primeiro diagnêstico da doenêa do coraêêo? ,53,0.22%
E01802,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse(s) outro(s) trabalho(s)?(valor em dinheiro),55,0.23%
I00402,O plano de saêde (ênico ou principal) de assistência mêdica que ___ possui dê direito a exames,60,0.25%
P05410,"Em mêdia, quanto fuma por dia ou por semana Cachimbos (considere cachimbos cheios)? ",82,0.34%
I006, ___ considera este plano de saêde: ,145,0.59%
P03701,"Em geral, no dia que o(a) Sr(a) pratica exercêcio ou esporte, quanto tempo em horas dura essa atividade? Horas ",151,0.62%
G060,____________ faz uso de cadeira de rodas? ,154,0.63%
P00404,Altura - Final (em cm)(3 inteiros),156,0.64%
G062,"____________ faz uso de bengala, muletas ou andador? ",160,0.66%
P02601,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal ê:",192,0.79%
I00403,O plano de saêde (ênico ou principal) de assistência mêdica que ___ possui dê direito a internaêêes,201,0.82%
J00101,"Considerando saêde como um estado de bem-estar fêsico e mental, e nêo somente a ausência de doenêas, como ê o estado de saêde de _____________? ",257,1.05%
P029,"Em geral, no dia que o(a) Sr(a) bebe, quantas doses de bebida alcoêlica o(a) Sr(a) consome? ",264,1.08%
M00203, Morador selecionado estê apto para responder? ,403,1.65%
Q06508,Faz atualmente por causa da doenêa do coraêêo: toma medicamentos regularmente?,414,1.70%
P00104,Peso - Final (em kg)(3 inteiros e 1 casa decimal),433,1.78%
J001,"De um modo geral, como ê o estado de saêde de________",506,2.07%
P02801,Quantos dias por semana o(a) Sr(a) costuma consumir alguma bebida alcoêlica? ,638,2.62%
P053,Que idade o(a) Sr(a) tinha quando comeêou a fumar produto de tabaco diariamente? ,669,2.74%
G059,___ usa algum aparelho de auxêlio para se locomover? ,736,3.02%
J00404,Este motivo de saêde estava relacionado ao trabalho,756,3.10%
F007011,"Em (mês da pesquisa), ___ recebia normalmente rendimento de pensêo alimentêcia, doaêêo ou mesada em dinheiro de pessoa que nêo morava no domicêlio?",758,3.11%
E017,"Quantas horas ___ trabalhava normalmente, por semana, nesse trabalho?",764,3.13%
M011051,"No(s) seu(s) trabalho(s), o(a) Sr(a) estê exposto(a) a algum destes fatores que podem afetar a sua saêde Manuseio de resêduos urbanos (lixo) ",780,3.20%
N008,O(A) Sr(a) pode me mostrar onde geralmente sente essa dor/desconforto no peito,784,3.21%
Q068,Algum mêdico jê lhe deu o diagnêstico de AVC (Acidente Vascular Cerebral) ou derrame?,809,3.32%
T001,O (a) Sr. (a) estê com tosse hê três semanas ou mais? ,889,3.64%
F008011,"Em (mês da pesquisa), ___ recebia normalmente rendimento de aluguel ou arrendamento?",1142,4.68%
Q11006,"Algum mêdico ou profissional de saêde (como psiquiatra ou psicêlogo) jê lhe deu o diagnêstico de outra doenêa mental, como transtorno de ansiedade, sêndrome do pênico, esquizofrenia, transtorno bipolar, psicose ou TOC (Transtorno Obsessivo Compulsivo) etc? ",1204,4.94%
N012,"Nas duas êltimas semanas, com que frequência o(a) Sr(a) teve pouco interesse ou nêo senitiu prazer em fazer as coisas? ",1222,5.01%
E01602,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse trabalho?(valor em dinheiro),1257,5.15%
N016,"Nas duas êltimas semanas, com que frequência o(a) Sr(a) se sentiu deprimido(a), êpra baixoê ou sem perspectiva?",1285,5.27%
N005,"Quando o(a) Sr(a) caminha em lugar plano, em velocidade normal, sente dor ou desconforto no peito",1307,5.36%
M011071,"No(s) seu(s) trabalho(s), o(a) Sr(a) estê exposto(a) a algum destes fatores que podem afetar a sua saêde Exposiêêo ê poeira mineral (pê de mêrmore, de areia, de brita, de vidro (sêlica), de amianto (asbesto), de ferro ou aêo)",1366,5.60%
M011011," No(s) seu(s) trabalho(s), o(a) Sr(a) estê(estava) exposto(a) a algum destes fatores que podem afetar a sua saêde. Manuseio de substências quêmicas (agrotêxicos, gasolina, diesel, formol, chumbo, mercêrio, cromo, quimioterêpicos etc.)",1417,5.81%
P02501,"Em quantos dias da semana o(a) Sr(a) costuma comer alimentos doces como biscoito/bolacha recheado, chocolate, gelatina, balas e outros?",1649,6.76%
Q06306,"Algum mêdico jê lhe deu o diagnêstico de uma doenêa do coraêêo, tal como infarto, angina, insuficiência cardêaca ou outra?",1669,6.84%
N011,"Nas duas êltimas semanas, com que frequência o(a) Sr(a) teve problemas por nêo se sentir descansado(a) e disposto(a) durante o dia, sentindo-se cansado(a), sem ter energia? ",2001,8.20%
P02002,Em quantos dias da semana o(a) Sr(a) costuma tomar refrigerante? ,2197,9.01%
M011021,"No(s) seu(s) trabalho(s), o(a) Sr(a) estê exposto(a) a algum destes fatores que podem afetar a sua saêde Exposiêêo a ruêdo (barulho intenso) ",2262,9.27%
Q128,Algum mêdico jê lhe deu algum diagnêstico de outra doenêa crênica (fêsica ou mental) ou doenêa de longa duraêêo (de mais de 6 meses de duraêêo)? ,2366,9.70%
P02602,"Em quantos dias da semana o(a) Sr(a) costuma substituir a refeiêêo do almoêo por lanches rêpidos como sanduêches, salgados, pizza, cachorro quente, etc? ",2418,9.91%
J002," Nas duas êltimas semanas, ___ deixou de realizar quaisquer de suas atividades habituais (trabalhar, ir ê escola, brincar, afazeres domêsticos etc.) por motivo da prêpria saêde",2887,11.84%
Q03001,Algum mêdico jê lhe deu o diagnêstico de diabetes? ,2983,12.23%
P050,"Atualmente, o(a) Sr(a) fuma algum produto do tabaco? ",3237,13.27%
N004,"Quando o(a) Sr(a) sobe uma ladeira, um lance de escadas ou caminha rêpido no plano, sente dor ou desconforto no peito",3278,13.44%
VDF001,"Em (mês da pesquisa), _______ recebia normalmente algum juro de caderneta de poupanêa e de outras aplicaêêes financeiras, dividendos, programas sociais, seguro-desemprego, seguro defeso ou outros rendimentos? ",3479,14.26%
N010,"Nas duas êltimas semanas, com que frequência o(a) Sr(a) teve problemas no sono, como dificuldade para adormecer, acordar frequentemente ê noite ou dormir mais do que de costume?",3501,14.35%
P068,Com que frequência alguêm fuma dentro do seu domicêlio? ,4017,16.47%
J01101,Quando ____ consultou um mêdico pela êltima vez,4750,19.47%
Q060,Algum mêdico jê lhe deu o diagnêstico de colesterol alto? ,5158,21.15%
P02001,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de caixinha/lata ou refresco em pê ? ,5826,23.88%
